=== DISCOVERED 2-HOP PATH TEMPLATES (Total: 829) ===
Format: [r1] -> [r2]  |  (Unique connected entity pairs: count)
--------------------------------------------------------------------------------
Template 001:  adjacent_to -> adjacent_to  |  (Connected pairs: 3)
Template 002:  adjacent_to -> conceptual_part_of  |  (Connected pairs: 6)
Template 003:  adjacent_to -> connected_to  |  (Connected pairs: 5)
Template 004:  adjacent_to -> consists_of  |  (Connected pairs: 1)
Template 005:  adjacent_to -> contains  |  (Connected pairs: 9)
Template 006:  adjacent_to -> developmental_form_of  |  (Connected pairs: 1)
Template 007:  adjacent_to -> interconnects  |  (Connected pairs: 4)
Template 008:  adjacent_to -> isa  |  (Connected pairs: 18)
Template 009:  adjacent_to -> issue_in  |  (Connected pairs: 4)
Template 010:  adjacent_to -> location_of  |  (Connected pairs: 71)
Template 011:  adjacent_to -> part_of  |  (Connected pairs: 37)
Template 012:  adjacent_to -> produces  |  (Connected pairs: 26)
Template 013:  adjacent_to -> result_of  |  (Connected pairs: 3)
Template 014:  adjacent_to -> surrounds  |  (Connected pairs: 6)
Template 015:  affects -> affects  |  (Connected pairs: 1917)
Template 016:  affects -> associated_with  |  (Connected pairs: 390)
Template 017:  affects -> carries_out  |  (Connected pairs: 9)
Template 018:  affects -> causes  |  (Connected pairs: 102)
Template 019:  affects -> co-occurs_with  |  (Connected pairs: 652)
Template 020:  affects -> complicates  |  (Connected pairs: 450)
Template 021:  affects -> conceptual_part_of  |  (Connected pairs: 47)
Template 022:  affects -> conceptually_related_to  |  (Connected pairs: 39)
Template 023:  affects -> degree_of  |  (Connected pairs: 355)
Template 024:  affects -> diagnoses  |  (Connected pairs: 5)
Template 025:  affects -> exhibits  |  (Connected pairs: 57)
Template 026:  affects -> interacts_with  |  (Connected pairs: 253)
Template 027:  affects -> isa  |  (Connected pairs: 473)
Template 028:  affects -> issue_in  |  (Connected pairs: 110)
Template 029:  affects -> location_of  |  (Connected pairs: 128)
Template 030:  affects -> manages  |  (Connected pairs: 5)
Template 031:  affects -> manifestation_of  |  (Connected pairs: 636)
Template 032:  affects -> measurement_of  |  (Connected pairs: 39)
Template 033:  affects -> occurs_in  |  (Connected pairs: 533)
Template 034:  affects -> performs  |  (Connected pairs: 27)
Template 035:  affects -> practices  |  (Connected pairs: 2)
Template 036:  affects -> precedes  |  (Connected pairs: 624)
Template 037:  affects -> process_of  |  (Connected pairs: 1684)
Template 038:  affects -> produces  |  (Connected pairs: 627)
Template 039:  affects -> property_of  |  (Connected pairs: 110)
